address,entity_name,entity_type,source,risk_level
0x28C6c06298d514Db089934071355E5743bf21d60,Binance,EXCHANGE,etherscan,LOW
0x21a31Ee1afC51d94C2eFcCAa2092aD1028285549,Binance,EXCHANGE,etherscan,LOW
0x71660c4005BA85c37ccec55d0C4493E66Fe775d3,Coinbase,EXCHANGE,etherscan,LOW
0x503828976D22510aad0201ac7EC88293211D23Da,Coinbase,EXCHANGE,etherscan,LOW
0x2910543Af39abA0Cd09dBb2D50200b3E800A63D2,Kraken,EXCHANGE,etherscan,LOW
0xE853c56864A2ebe4576a807D26Fdc4A0adA51919,Kraken,EXCHANGE,etherscan,LOW
0x5C985E89DDe482eFE97ea9f1950aD149Eb73829B,WazirX,EXCHANGE,etherscan,LOW
0xd90e2f925DA726b50C4Ed8D0Fb90Ad053324F31b,Tornado Cash Router,MIXER,manual,CRITICAL
0x722122dF12D4e14e13Ac3b6895a86e84145b6967,Tornado Cash 0.1 ETH Pool,MIXER,manual,CRITICAL
0x12D66f87A04A9E220743712cE6d9bB1B5616B8Fc,Tornado Cash 1 ETH Pool,MIXER,manual,CRITICAL
0x47CE0C6eD5B0Ee3f31c9f899A4EA02b3aab60E1e,Tornado Cash 10 ETH Pool,MIXER,manual,CRITICAL
0xA7e5d5A720f06526557c513402f2e6B5fA20b008,Example Investment Scam Cluster,SCAM,cryptoscamdb,CRITICAL
0x098B716B8Aaf21512996dC57EB0615e2383E2f96,Example Ransomware Wallet,SCAM,cryptoscamdb,CRITICAL
0x8589427373D6D84E98730D7795D8f6f8731FDA0,Example OFAC SDN Entry,SANCTIONED,ofac,CRITICAL

